date,company_id,revenue,expenses,cash_inflow,cash_outflow,cash_balance,outstanding_invoices,profit
2020-03-02,38,34348.94,9340.34,29440.28,14017.58,94598.1,9119.42,25008.6
2018-12-14,2,49717.45,12098.02,48679.55,23352.18,86965.48,12653.21,37619.43
2023-06-20,16,30435.5,22061.6,43732.9,49909.9,74900.86,18068.03,8373.9
2024-03-26,9,37348.06,26069.11,38543.32,42365.27,48750.22,19122.28,11278.95
2018-03-19,16,10303.3,23767.28,30023.63,12860.52,78969.02,10496.13,-13463.98
2022-09-03,1,44454.28,23262.55,34170.28,23941.84,99393.3,777.03,21191.73
2021-07-27,31,32374.26,8852.6,29887.16,19684.26,31130.36,13691.55,23521.66
2020-05-12,5,26889.94,14692.67,10651.72,13152.5,32317.91,11710.0,12197.27
2025-01-29,4,31869.39,21342.69,20329.04,9628.58,21896.33,1605.45,10526.7
2021-06-13,32,15430.26,13881.37,47856.69,31131.62,69549.2,15749.29,1548.89
2025-02-16,35,42429.4,31598.2,28315.41,49229.08,19666.74,2338.9,10831.2
2024-10-09,26,28745.47,12717.76,25876.42,14800.59,33561.51,18467.44,16027.71
2019-06-09,1,25756.78,16773.19,44898.83,29119.88,35993.91,12235.67,8983.59
2026-07-30,8,40960.32,18462.85,33251.34,23976.43,46942.7,15407.59,22497.47
2023-03-26,7,33935.13,15832.53,49745.51,28561.2,90334.51,7557.55,18102.6
2021-11-17,20,36534.56,37412.69,46565.0,33541.02,53451.76,12794.99,-878.13
2026-09-21,19,32283.23,28104.19,41019.49,33663.78,57255.22,6574.6,4179.04
2019-08-11,10,25318.2,9165.44,48775.5,29613.78,39581.44,19198.24,16152.76
2024-04-28,31,33318.59,16175.51,25035.88,39017.22,58756.69,11470.06,17143.08
2022-09-28,40,23825.79,20285.84,35773.41,39573.05,27457.89,14790.31,3539.95
2026-10-19,3,47862.71,15701.57,47927.71,21665.31,60940.76,11762.33,32161.14
2019-05-26,32,31145.98,10759.99,34491.79,21353.57,18100.65,12097.85,20385.99
2024-02-18,38,31131.4,26648.71,40394.84,44539.31,83872.43,8748.3,4482.69
2023-01-05,35,17015.68,19046.03,36774.39,24934.39,35348.33,15005.96,-2030.35
2021-12-22,38,26891.43,39031.1,34370.79,14693.22,10281.4,11649.29,-12139.67
2023-08-18,32,32662.71,15309.74,18076.61,8398.2,25401.06,5142.11,17352.97
2023-05-09,21,42317.28,31985.12,13091.06,10254.59,18632.42,1975.87,10332.16
2019-05-10,17,27165.02,13701.35,46028.25,34817.27,78982.43,5592.12,13463.67
2020-12-13,23,42262.6,21167.01,34826.82,24472.94,64124.89,9045.92,21095.59
2018-06-02,36,15925.85,18339.28,40378.45,15789.06,84625.13,2901.43,-2413.43
2021-09-28,22,43227.45,31326.23,38160.32,12433.5,61313.54,7416.66,11901.22
2021-12-18,31,11272.1,17932.03,43254.8,10839.37,27477.08,833.71,-6659.93
2018-05-22,2,42592.6,30407.6,46250.32,29778.62,41781.13,1350.92,12185
2026-03-05,21,19021.59,11071.63,32900.83,44430.73,71417.66,15492.94,7949.96
2021-11-06,29,13993.05,17964.95,13201.79,39348.73,62642.24,19378.2,-3971.9
2024-01-26,6,37923.17,28505.97,30015.68,48956.8,88816.01,19280.68,9417.2
2019-08-16,40,10315.23,24887.58,15603.87,41464.15,72638.78,1891.27,-14572.35
2018-06-28,32,41904.15,28755.19,43951.07,38740.33,20680.62,275.45,13148.96
2023-02-07,27,46355.46,27050.21,14921.68,42936.55,93483.22,782.27,19305.25
2019-12-21,27,44487.42,8505.71,25113.74,35266.93,88191.13,9152.05,35981.71
2018-06-16,21,15291.26,34065.64,42898.45,31963.31,69622.63,7792.19,-18774.38
2018-06-25,22,27702.09,8702.94,44269.47,9787.57,48932.61,8491.3,18999.15
2020-05-07,38,28970.53,36689.59,43390.37,35685.1,30182.78,14302.57,-7719.06
2020-01-13,23,47255.75,21421.96,48917.98,28262.5,20148.62,2480.06,25833.79
2021-12-12,27,23088.72,31160.87,24221.0,28579.61,83074.8,858.65,-8072.15
2021-03-15,2,11586.16,10457.94,47614.07,25899.12,43720.92,8540.1,1128.22
2024-11-19,18,37055.9,24575.39,20330.84,21189.26,13071.97,17219.79,12480.51
2021-06-02,5,27674.79,38266.98,42964.88,41196.5,11669.99,4885.31,-10592.19
2022-09-16,2,29257.92,34334.41,43774.57,38736.44,70787.69,1012.82,-5076.49
2021-10-08,36,25978.66,18105.04,39947.3,32259.67,82583.68,16831.0,7873.62
2023-11-21,28,20852.55,29460.5,18198.79,13239.43,28570.78,6034.27,-8607.95
2018-01-31,32,18219.14,18032.45,13962.17,39554.12,43496.2,17117.58,186.69
2022-04-07,28,19671.72,33996.2,29066.8,36493.18,40721.32,19133.78,-14324.48
2025-03-12,8,12573.77,16518.31,35696.1,32561.16,63373.96,12373.87,-3944.54
2025-08-16,13,42441.32,8662.67,43352.67,26379.53,52582.51,13801.0,33778.65
2021-04-25,32,45908.73,12639.89,18503.64,40555.84,24892.08,420.26,33268.84
2023-09-07,17,26080.94,32278.05,42392.08,24299.43,45860.82,81.18,-6197.11
2018-10-11,10,11080.77,21186.53,33255.62,32555.16,92536.65,13148.28,-10105.76
2022-12-23,11,46991.51,33566.17,11787.0,42989.68,61908.3,9616.78,13425.34
2025-05-15,38,33102.27,24575.25,28959.98,29356.8,28024.28,11968.96,8527.02
2024-05-15,40,21915.15,26867.15,18174.67,8488.01,92914.46,1742.48,-4952
2019-06-08,27,28725.38,21144.54,42851.91,46180.64,46062.88,2493.44,7580.84
2018-02-11,3,21822.64,30397.4,25741.9,46121.7,68047.76,18211.18,-8574.76
2018-02-06,36,17319.64,11061.9,19705.67,40945.9,69994.04,5568.01,6257.74
2024-06-04,9,38036.19,16046.56,21764.08,47864.48,10877.35,8846.47,21989.63
2022-10-30,11,44114.86,36605.35,40840.76,10301.63,95426.39,6211.31,7509.51
2020-10-08,33,23494.5,23257.04,31593.98,40363.29,77851.02,3195.89,237.46
2023-06-13,24,10359.99,14998.88,34753.0,24704.62,15462.55,7156.76,-4638.89
2026-07-21,38,40014.04,20034.56,24988.54,32516.06,79003.79,1483.64,19979.48
2025-03-13,27,39348.89,29298.42,11932.65,46721.81,68172.72,18358.69,10050.47
2024-09-07,21,46768.75,38032.46,14778.41,30882.39,33441.13,11341.02,8736.29
2023-04-13,17,28466.5,9915.1,27973.52,48022.39,26527.03,548.61,18551.4
2020-10-19,36,31952.98,39883.33,20891.09,9443.53,94432.84,15825.68,-7930.35
2019-05-07,31,44043.47,27467.15,28248.27,33534.96,88445.86,3124.1,16576.32
2021-12-28,6,34085.03,17128.14,27830.53,44054.02,42486.5,12177.22,16956.89
2026-10-04,20,37715.31,26610.13,16687.26,43387.06,28113.81,2180.22,11105.18
2026-09-15,11,35881.26,13232.32,33924.05,39023.93,26106.84,2164.58,22648.94
2024-01-04,18,15595.59,34504.89,44441.88,29451.79,44609.39,11394.12,-18909.3
2024-05-20,35,45277.29,16733.07,48128.07,43149.71,32206.43,10350.2,28544.22
2022-05-28,8,44951.94,35725.68,44811.35,26127.28,25871.5,5634.23,9226.26
2024-08-29,5,16501.56,31842.13,29171.69,21049.62,66121.1,16871.65,-15340.57
2024-07-07,1,31260.65,14100.87,48341.46,42103.59,57723.78,2448.15,17159.78
2021-05-04,32,16115.55,9055.61,17106.41,42367.4,50304.61,9795.37,7059.94
2018-03-16,39,37449.98,33562.5,29938.47,46537.38,48546.18,16853.41,3887.48
2018-07-14,11,40402.28,19224.5,49398.63,13463.3,58639.06,16856.3,21177.78
2018-02-28,36,23239.43,9776.2,30693.37,38163.49,79835.71,3763.62,13463.23
2018-10-24,33,48355.41,14173.16,33002.99,25341.4,14800.18,6647.04,34182.25
2020-09-18,28,23363.82,38417.83,47823.72,25337.32,91443.63,8780.25,-15054.01
2019-05-22,17,45458.21,39632.01,35776.12,8310.66,83057.96,13687.34,5826.2
2018-03-11,3,36498.54,18395.05,35398.4,36814.54,90364.38,13731.13,18103.49
2025-06-03,18,49294.89,20872.08,23233.72,23006.34,69403.45,7012.17,28422.81
2023-07-07,39,48600.09,30226.57,28352.13,25484.49,32865.32,12817.5,18373.52
2023-05-21,36,21830.08,19036.69,10174.51,33300.82,32146.11,11144.34,2793.39
2019-08-15,33,33922.28,19059.79,29926.3,43574.24,48689.1,5579.52,14862.49
2019-04-28,36,14481.1,31982.22,13689.34,14486.41,73682.25,1057.96,-17501.12
2023-11-01,40,46287.99,25101.76,30027.76,20599.21,70607.08,66.02,21186.23
2018-03-28,35,40900.28,12663.72,20838.43,34171.93,84522.67,19618.99,28236.56
2024-06-06,28,46915.91,8523.17,33947.72,9134.74,60067.93,7773.84,38392.74
2026-10-01,29,44962.55,30144.92,30431.62,15408.07,89949.38,2838.04,14817.63
2024-02-26,18,42379.35,34816.09,31825.26,19665.97,55819.04,9425.66,7563.26
2021-11-01,32,24793.89,37345.1,49850.55,19998.69,76183.43,6808.61,-12551.21
2019-03-17,12,38412.74,39672.12,48718.52,42146.17,82642.47,17321.32,-1259.38
2018-08-04,21,25509.56,39393.42,24163.06,13893.28,94913.74,17668.98,-13883.86
2021-11-09,33,48560.13,22236.23,13874.85,41023.71,83190.26,9375.88,26323.9
2023-10-07,16,12920.07,13945.0,29897.95,30092.93,84720.22,568.28,-1024.93
2020-10-19,21,35866.86,37403.76,24257.26,42853.22,14423.56,11099.56,-1536.9
2020-10-06,2,36757.65,32561.38,11202.55,34789.68,53316.35,14901.46,4196.27
2020-10-24,36,28213.93,12542.79,41918.94,15415.81,75953.68,1028.35,15671.14
2025-08-12,25,42459.81,11201.11,49469.37,44897.84,48901.11,4071.18,31258.7
2026-10-21,1,47998.04,12302.57,39667.22,13704.82,45075.97,11524.31,35695.47
2026-05-23,19,35423.67,27064.47,29839.98,41363.5,89916.36,10681.58,8359.2
2018-02-05,34,44003.39,20653.85,12357.49,40856.16,89697.65,57.88,23349.54
2026-06-23,5,10637.1,22341.63,29436.5,14633.61,59083.83,5023.08,-11704.53
2025-02-17,20,28904.17,13849.06,36368.95,37453.27,66556.08,9727.55,15055.11
2024-03-05,15,46293.99,37790.62,38584.14,43272.82,46448.2,10079.37,8503.37
2023-09-13,31,13001.76,23712.73,31029.36,22841.28,66508.89,19923.59,-10710.97
2022-08-15,24,18247.4,38375.25,15331.03,34966.92,85663.69,76.38,-20127.85
2024-08-20,40,30798.27,34342.21,34455.7,28720.58,46669.97,17956.89,-3543.94
2026-12-25,7,24985.51,14808.62,41930.93,34072.24,98593.33,7656.84,10176.89
2019-08-21,7,26547.02,37169.57,39402.02,10480.15,37405.26,9999.76,-10622.55
2018-10-22,35,35296.15,39861.68,48394.5,11945.87,42185.48,1047.84,-4565.53
2021-03-01,15,42862.61,22583.26,40467.55,46457.63,93610.17,18519.95,20279.35
2026-02-21,14,10805.63,10261.0,45278.66,41362.91,47695.14,7666.07,544.63
2019-12-04,15,49699.73,31220.91,19689.46,41915.51,28312.57,3218.91,18478.82
2023-06-13,3,45030.36,19950.57,16440.53,41968.3,27176.77,5286.13,25079.79
2023-03-20,15,19003.48,15594.97,23311.01,38009.31,37524.0,12140.65,3408.51
2023-08-05,15,15307.56,35634.36,14217.09,27262.42,22810.48,9912.13,-20326.8
2018-02-02,14,44300.49,34368.61,16248.09,14007.85,22171.99,5018.26,9931.88
2020-05-08,28,27559.42,19360.41,20854.07,38847.97,36031.59,3567.0,8199.01
2019-03-14,16,20230.82,22693.82,15779.58,45225.72,94696.88,11576.76,-2463
2023-12-10,39,48621.97,26776.15,38163.61,32206.71,26964.34,6296.53,21845.82
2026-01-03,4,42909.83,26061.91,21257.09,20947.2,68785.59,17682.71,16847.92
2019-01-14,21,19363.51,10864.79,27349.46,39672.41,41264.43,3090.04,8498.72
2021-03-03,31,41388.19,22499.43,47559.2,45703.35,90200.3,8751.33,18888.76
2022-04-14,10,24190.41,32434.04,44382.95,17860.37,39456.99,4006.49,-8243.63
2018-05-24,39,46072.97,32361.83,15761.17,47244.44,45186.32,11212.03,13711.14
2024-07-22,38,41605.06,35466.19,25378.97,14785.98,31769.08,5433.83,6138.87
2025-05-06,28,10374.14,21320.28,10888.26,14285.59,29639.22,15100.66,-10946.14
2026-02-03,27,21241.35,19647.2,43774.06,15226.67,78687.5,18630.25,1594.15
2022-01-17,26,22752.18,8360.58,23460.39,16169.87,82062.77,13119.14,14391.6
2019-03-25,13,24344.58,20070.03,49560.06,38051.58,86913.07,4445.28,4274.55
2021-11-20,32,40692.96,20527.95,39884.21,37626.07,62989.74,14290.91,20165.01
2025-03-29,26,40010.29,27856.92,18129.19,12304.2,98685.56,1124.25,12153.37
2021-12-07,25,39121.03,19135.42,39621.57,36365.73,74489.3,14745.81,19985.61
2026-11-09,23,27926.06,36352.26,24442.2,17706.45,99338.54,1628.67,-8426.2
2020-04-07,28,43906.64,9935.61,30652.31,45409.82,49164.71,726.46,33971.03
2021-08-03,4,30834.02,8678.94,40654.81,18013.58,19022.83,16586.63,22155.08
2019-01-09,8,47979.0,12547.9,20832.08,47733.61,96415.49,13616.78,35431.1
2025-11-16,6,25072.17,9942.16,36353.04,25341.9,38349.51,16648.77,15130.01
2024-02-25,3,48245.62,9894.42,37169.89,13295.2,74075.24,14327.4,38351.2
2019-09-17,40,10653.79,13324.45,22674.53,26535.48,13020.49,2232.21,-2670.66
2019-03-12,21,30889.58,15632.81,43509.7,20615.3,83114.24,2683.73,15256.77
2026-08-16,19,47752.28,18832.77,40578.47,40011.92,42587.61,6687.79,28919.51
2026-02-04,33,16231.25,36287.16,44876.49,15863.17,36354.92,1300.95,-20055.91
2018-11-12,7,45089.14,33377.24,30957.95,12773.57,19283.08,7084.05,11711.9
2022-06-13,35,15822.77,26258.49,23469.08,18950.97,31395.32,5904.4,-10435.72
2018-08-05,4,38530.36,15056.86,48654.05,36548.83,30737.04,6729.02,23473.5
2020-11-28,29,35317.47,22664.58,21703.68,16133.69,36987.99,6237.19,12652.89
2019-04-13,40,25737.79,33662.74,11442.03,35999.39,76843.62,2208.94,-7924.95
2019-09-30,20,41124.95,18359.65,15176.92,46271.5,64584.22,12234.26,22765.3
2023-06-07,16,13934.92,21220.41,30931.87,41778.79,58815.25,10392.91,-7285.49
2026-11-20,20,13325.52,28423.87,42386.09,28248.23,45197.93,16469.07,-15098.35
2023-10-07,28,42417.27,34881.08,28900.7,22694.83,82617.84,18439.13,7536.19
2023-03-24,13,23854.11,20775.22,22789.01,41302.6,66608.51,19438.95,3078.89
2018-03-25,6,36413.55,23395.23,27003.51,48895.8,70891.33,3664.03,13018.32
2020-10-10,16,45021.19,10850.31,24278.49,24512.74,27810.43,7682.87,34170.88
2019-07-08,18,19875.09,11676.34,49214.34,16661.25,94756.72,16658.93,8198.75
2018-04-27,21,38865.26,37472.81,44850.5,35060.44,12404.91,9800.1,1392.45
2026-07-30,17,25753.66,14353.04,40136.22,27003.96,61987.11,2021.01,11400.62
2019-07-13,3,14373.41,14700.4,20115.03,21754.72,63032.35,2660.1,-326.99
2026-03-24,16,35036.93,16475.78,11177.15,8611.83,95238.57,7319.09,18561.15
2019-04-29,14,45070.35,26336.98,24418.56,48474.99,13946.13,19310.67,18733.37
2022-01-07,18,38899.78,30776.61,46739.78,20698.47,47881.46,7694.3,8123.17
2018-01-29,2,13754.33,22953.94,12145.24,15009.09,50538.08,4242.47,-9199.61
2025-05-01,21,49253.85,32498.84,36154.32,23050.66,85657.16,11431.43,16755.01
2020-12-27,2,48322.34,22382.17,38561.46,24808.53,36690.58,6688.68,25940.17
2020-09-14,35,29523.77,22228.01,47971.61,39058.43,32382.22,191.63,7295.76
2024-02-14,18,36086.16,30627.42,49988.08,17689.47,18070.9,16515.59,5458.74
2018-11-28,38,38864.97,9286.04,27268.83,33875.39,36683.97,8181.01,29578.93
2024-01-08,11,32798.1,8945.57,42726.09,12942.74,32657.88,16042.97,23852.53
2018-09-15,5,31317.68,12893.63,29683.46,47393.02,77149.19,4731.32,18424.05
2026-09-06,14,47389.11,26941.63,38050.4,38186.96,82559.23,10046.66,20447.48
2024-08-14,35,19409.31,32998.06,49742.99,8829.1,81377.01,9727.49,-13588.75
2018-07-31,15,19761.69,18437.17,16373.7,32429.47,29012.38,10418.53,1324.52
2025-04-28,10,13352.45,23764.02,29579.83,25221.01,10867.67,2332.8,-10411.57
2023-01-13,20,25591.36,11193.26,29884.61,26358.81,80292.19,2803.18,14398.1
2026-05-10,29,25313.03,8381.78,42346.84,20608.97,76777.67,8852.06,16931.25
2020-06-07,21,34752.78,22527.64,12242.36,37581.79,86176.95,11975.85,12225.14
2019-04-26,31,11028.9,34142.28,36187.49,31569.75,62824.04,3524.12,-23113.38
2024-02-21,23,22956.53,8354.75,47716.93,48278.28,63853.86,19161.7,14601.78
2023-11-26,19,31619.95,25306.96,37962.13,47188.76,60029.83,9804.82,6312.99
2026-04-07,6,21784.63,32313.95,37862.72,47746.24,69299.83,1070.22,-10529.32
2022-09-24,25,47433.83,10621.68,17761.39,39701.88,23320.54,13596.75,36812.15
2020-11-05,20,43963.05,25741.88,30940.63,36864.41,99705.89,12295.33,18221.17
2025-02-18,31,29191.0,8144.63,29288.94,40298.76,46972.55,18418.91,21046.37
2021-08-13,33,16197.0,25130.59,17534.04,19237.91,87767.58,7239.92,-8933.59
2026-11-21,19,38792.16,12669.67,43899.77,36388.73,98048.84,9733.32,26122.49
2026-01-11,30,29635.04,16989.71,43873.49,38603.58,12518.09,11166.58,12645.33
2018-11-21,17,16290.0,26719.58,12560.61,20322.3,96469.65,16279.09,-10429.58
2026-11-11,2,25848.22,20760.41,38924.14,41778.98,87734.05,6547.83,5087.81
2023-07-11,23,32234.55,20980.4,29251.34,16575.31,21751.33,17607.59,11254.15
2020-04-07,29,41504.92,34920.94,19606.25,21511.99,41176.3,349.41,6583.98
2026-06-08,10,39803.87,38631.24,46335.56,38972.03,52771.98,10811.11,1172.63
2022-01-05,16,31140.41,9332.21,12320.63,15989.08,15054.63,5994.83,21808.2
2020-11-08,29,47322.52,13765.89,27282.04,21666.11,35271.53,6094.04,33556.63
2019-01-01,10,47493.11,10566.54,30475.25,39922.63,34747.18,19501.45,36926.57
2022-08-06,5,25819.46,23558.4,32272.3,11259.42,76686.38,15452.5,2261.06
2022-11-18,15,11673.61,36336.4,20890.2,27313.07,86856.16,12951.83,-24662.79
2019-03-04,26,45701.04,19539.93,38251.12,33604.52,18542.99,1805.67,26161.11
2022-05-23,28,12511.81,31165.08,15719.09,43732.43,87473.85,17965.37,-18653.27
2025-08-18,21,14262.04,18694.07,16308.69,18335.09,90683.89,4934.58,-4432.03
2026-11-04,38,34262.16,11737.07,44384.04,28144.03,47616.62,17572.22,22525.09
2020-10-06,7,48323.96,28024.74,32613.82,13946.78,66732.81,8561.35,20299.22
2024-10-15,34,13651.39,15038.47,46936.89,33750.73,55184.78,12548.26,-1387.08
2018-05-20,13,29368.3,23579.99,35138.02,38549.16,34784.38,1291.27,5788.31
2024-05-10,32,47937.74,13729.14,14133.95,21583.8,79690.31,13181.23,34208.6
2024-12-25,17,24547.54,15237.87,39480.54,12109.33,70530.77,14270.38,9309.67
2018-03-02,7,42956.6,28406.48,28079.34,26268.05,11773.17,5038.76,14550.12
2023-09-06,16,18831.54,26859.05,42534.78,19562.61,55472.99,19255.2,-8027.51
2023-09-03,31,48146.41,12448.29,48115.26,13469.49,55035.55,2071.69,35698.12
2020-09-25,14,45493.79,17361.05,41002.8,16473.28,43440.93,12789.43,28132.74
2021-12-22,1,36376.07,37933.55,28698.0,22067.57,48522.73,11844.41,-1557.48
2023-11-29,13,42736.74,33545.83,33876.43,41688.19,21282.56,13680.54,9190.91
2026-03-25,5,17482.32,20197.2,28324.96,33240.61,96449.38,64.59,-2714.88
2021-05-25,2,45127.79,12686.05,49988.61,16534.98,22214.45,13030.55,32441.74
2025-03-29,15,40235.28,24154.05,34992.63,10022.16,33183.29,5930.12,16081.23
2026-02-06,2,28060.14,21470.89,12272.94,42976.9,34035.72,1231.59,6589.25
2026-04-23,37,24169.92,31661.83,36656.88,18482.22,93910.72,14058.9,-7491.91
2024-12-28,31,28844.41,17765.82,23624.81,40118.36,54401.97,12614.89,11078.59
2018-04-10,9,29555.03,38514.55,26965.32,32584.2,88448.65,14177.04,-8959.52
2024-02-02,24,15238.51,8857.91,27548.21,16301.12,86172.71,19889.0,6380.6
2020-03-10,14,21073.78,33369.74,19667.7,45892.08,16089.18,14673.52,-12295.96
2018-02-14,2,38662.36,31503.45,42891.0,19266.52,10390.81,7195.66,7158.91
2021-11-30,4,42467.67,13501.42,10313.79,28201.43,49609.9,6868.64,28966.25
2025-01-16,21,20687.04,23761.27,22692.76,20232.09,76177.89,1476.15,-3074.23
2019-02-25,24,20639.93,23684.69,35647.19,40708.48,85805.71,9383.96,-3044.76
2024-06-16,19,22025.97,31381.61,24044.08,44882.07,24194.02,10299.99,-9355.64
2026-03-13,19,27401.15,34742.98,45262.26,19206.88,11019.34,9759.4,-7341.83
2024-12-15,33,47432.1,19050.65,29280.66,29491.15,58153.35,15028.79,28381.45
2021-04-17,4,39669.89,23518.02,38111.61,14599.37,60120.18,15305.57,16151.87
2026-08-15,31,18565.05,18608.3,36981.69,16071.74,76101.86,16972.14,-43.25
2018-03-20,11,24819.68,14393.25,44152.95,14020.12,37125.79,14373.65,10426.43
2026-07-21,3,22470.7,24457.22,39829.72,25082.25,73084.04,198.21,-1986.52
2019-03-04,26,35088.51,28028.58,23794.91,37479.76,67949.93,708.7,7059.93
2019-10-14,11,37218.09,13614.02,38185.78,13909.34,20839.32,19182.0,23604.07
2022-06-05,5,23574.29,29035.0,36969.51,39844.48,20747.73,19084.76,-5460.71
2023-08-28,34,41748.7,25970.86,49238.94,25794.28,85053.07,5914.3,15777.84
2023-03-26,8,36130.89,25615.81,36249.16,42931.02,23606.01,6429.81,10515.08
2024-01-22,31,29392.54,8856.25,25426.21,8565.24,96202.21,1074.49,20536.29
2019-01-20,17,10171.53,29661.79,20871.58,16631.89,29243.14,9345.01,-19490.26
2019-09-22,28,16461.23,21570.95,44062.17,48561.43,68950.84,3189.11,-5109.72
2020-09-11,9,16839.83,33686.91,46091.75,27666.73,60383.05,981.61,-16847.08
2023-12-21,17,20926.63,14112.55,47513.55,12130.01,76166.42,705.21,6814.08
2023-10-19,38,48006.65,8543.11,49932.88,36626.59,81045.33,8181.18,39463.54
2022-05-24,7,19819.11,25606.68,21096.97,48315.71,54753.2,3274.48,-5787.57
2021-03-15,40,38937.87,29972.6,20885.82,13747.76,70719.54,15370.83,8965.27
2021-09-21,23,18851.07,20326.85,41168.36,22040.95,79280.55,382.17,-1475.78
2024-02-16,24,15530.44,37632.37,35688.88,36201.2,19915.09,4494.5,-22101.93
2022-06-04,29,47841.96,24542.83,11998.94,46798.99,36356.97,19783.37,23299.13
2020-05-25,31,33450.47,22141.26,28373.12,34561.1,85603.11,8175.21,11309.21
2022-11-27,21,38712.41,33383.73,30520.23,41310.66,74434.79,3170.13,5328.68
2024-11-18,30,17180.39,24565.46,38321.98,24038.35,28591.76,15633.15,-7385.07
2023-03-23,1,39404.76,14961.4,10862.65,32131.09,17223.47,12313.22,24443.36
2018-05-31,33,42377.44,10004.86,35500.02,35839.46,52817.9,11302.36,32372.58
2022-03-08,17,23021.65,39585.86,17239.89,12309.98,53058.97,2080.44,-16564.21
2023-03-12,13,34014.07,35823.36,24751.2,15523.3,91343.35,9908.37,-1809.29
2020-07-09,39,23493.14,14290.94,34901.5,26452.94,48449.68,9065.83,9202.2
2026-01-07,35,30625.57,38102.85,28455.65,49435.84,25826.76,16644.71,-7477.28
2019-04-18,35,10995.83,32710.96,21443.5,24584.85,18307.14,10268.62,-21715.13
2023-03-26,21,23875.6,30286.13,13592.78,21218.99,22963.13,6548.17,-6410.53
2020-06-29,39,45519.52,32527.62,18360.59,47122.57,49508.62,16645.38,12991.9
2021-08-15,23,28127.28,32497.93,14567.15,20250.8,94455.5,7133.99,-4370.65
2025-07-02,29,31702.76,34353.66,11428.58,15119.39,22915.24,4332.02,-2650.9
2019-12-23,27,29535.05,33422.64,46513.68,14973.45,38355.01,15342.51,-3887.59
2026-04-18,33,28263.52,11977.35,40323.45,15033.46,28429.14,19341.45,16286.17
2022-11-29,24,10824.11,31818.93,47270.49,27354.36,75636.67,10810.68,-20994.82
2018-06-08,2,47596.92,30588.74,33814.52,14366.57,58517.06,9582.98,17008.18
2023-05-20,32,27473.24,8949.46,21159.97,47248.72,89502.63,1833.81,18523.78
2023-05-22,15,45644.57,8010.26,20231.35,20007.84,15905.24,5902.31,37634.31
2018-05-01,26,15508.56,28867.26,21889.07,23327.45,45347.51,4313.34,-13358.7
2026-01-12,18,47896.43,17859.53,16783.4,40387.41,24537.47,14112.08,30036.9
2025-06-29,8,24062.43,38530.05,23152.69,9500.11,18958.3,5578.68,-14467.62
2019-06-23,7,23171.95,22294.29,35870.7,49725.77,38008.17,10615.07,877.66
2023-01-13,13,39892.93,13963.26,26955.69,34948.6,49039.57,2346.12,25929.67
2018-10-22,15,18790.25,38756.87,20152.37,24809.95,66105.48,3135.39,-19966.62
2023-03-28,25,14450.66,38403.75,45292.55,46996.29,21230.53,14675.37,-23953.09
2023-09-02,34,12848.03,31068.05,42397.53,41974.62,95115.74,10499.32,-18220.02
2022-06-23,18,44056.62,32125.0,30814.29,26814.72,43318.22,6220.89,11931.62
2022-11-02,32,41805.93,14691.77,34135.14,18077.02,30142.55,5107.36,27114.16
2018-01-17,26,28489.98,30122.93,42024.87,23083.79,10040.23,13221.51,-1632.95
2022-02-23,23,34890.47,16877.24,32492.38,49416.59,88087.24,13143.57,18013.23
