date,company_id,campaign_spend,website_visits,leads,qualified_leads,new_deals,pipeline_value,conversion_rate,churn_rate
2023-02-26,20,2635.92,1217,55,54,13,65831.3,0.806,0.18
2025-03-12,23,3370.33,1590,97,79,17,55453.89,0.065,0.082
2022-05-10,22,2007.93,1392,89,25,18,39331.36,0.374,0.122
2021-07-09,21,2090.84,1858,107,48,6,41697.56,0.752,0.09
2023-04-09,25,3739.17,1859,147,71,13,29206.79,0.661,0.115
2020-02-07,21,2413.08,1400,75,27,3,21145.12,0.19,0.038
2020-05-25,25,2839.4,1225,81,45,19,20217.97,0.644,0.078
2024-08-19,31,3849.8,1883,82,31,3,48232.25,0.145,0.038
2025-05-01,40,3626.03,1729,51,60,16,72428.61,0.291,0.031
2023-03-12,30,2828.76,1027,149,29,11,52728.86,0.692,0.17
2020-09-11,40,3586.5,843,118,23,14,29479.66,0.532,0.043
2026-07-23,23,2316.88,1023,68,43,8,41954.05,0.328,0.063
2025-05-04,13,3893.4,1176,142,28,20,50726.11,0.91,0.102
2020-09-24,11,2409.12,935,150,52,17,51659.69,0.424,0.165
2023-09-04,17,2857.49,1273,114,45,9,36061.69,0.114,0.123
2024-12-03,30,2559.33,851,100,56,5,28057.3,0.743,0.022
2021-08-17,24,3560.17,1757,138,65,15,43492.86,0.047,0.065
2025-09-27,23,2075.01,1583,142,22,3,23942.93,0.344,0.054
2022-02-28,4,2598.31,1686,78,32,20,46489.39,0.411,0.116
2022-11-09,17,2321.31,1065,140,66,3,33444.83,0.521,0.16
2024-06-17,37,3179.1,1877,113,53,17,79804.67,0.949,0.021
2023-01-24,39,2853.42,1900,137,48,4,40249.53,0.164,0.012
2020-12-27,32,2873.16,1907,136,65,1,21401.35,0.239,0.123
2026-06-02,20,3521.7,1873,59,59,14,78590.1,0.334,0.072
2022-12-14,19,3939.21,1761,147,66,17,71639.59,0.252,0.075
2024-04-05,7,3081.84,1916,103,67,4,65414.1,0.076,0.008
2024-04-13,18,3961.59,935,142,59,8,46263.5,0.333,0.118
2022-07-12,36,2930.75,928,58,39,11,46853.89,0.349,0.188
2021-04-23,11,3822.99,1319,56,74,19,51066.31,0.714,0.074
2020-11-29,18,2765.32,1322,77,33,5,54345.66,0.589,0.178
2026-08-27,1,2886.25,1769,134,58,18,31589.17,0.855,0.127
2021-07-07,6,2156.78,1442,114,50,8,25423.03,0.839,0.097
2025-12-14,24,2656.59,811,131,23,16,68419.08,0.616,0.138
2024-02-07,32,3851.68,1588,126,47,20,52063.27,0.938,0.026
2022-06-03,22,3926.74,1456,75,76,11,41716.48,0.026,0.154
2026-04-01,2,3665.49,1791,145,75,4,32871.12,0.904,0.149
2022-06-27,15,2470.57,1593,89,32,2,49343.25,0.375,0.117
2021-02-17,2,2411.83,868,128,54,11,57373.36,0.772,0.078
2026-12-10,18,3016.62,1051,85,74,19,58861.58,0.237,0.175
2022-12-10,29,2271.95,1906,111,78,6,47636.31,0.493,0.022
2021-08-13,1,2741.49,1458,82,28,16,48716.48,0.163,0.124
2020-09-19,25,3337.46,1297,105,73,6,65217.01,0.698,0.062
2025-07-12,14,2710.23,1815,131,29,1,31049.15,0.63,0.197
2020-01-07,3,3426.86,1397,52,65,11,21362.13,0.131,0.172
2026-09-09,19,2784.62,956,70,43,1,61735.21,0.639,0.084
2023-09-17,2,3847.88,1592,88,54,4,70333.4,0.267,0.149
2022-12-06,18,2285.12,1423,107,69,19,75083.05,0.998,0.078
2026-10-22,9,3922.85,1944,144,77,6,70925.79,0.861,0.01
2026-10-27,3,3060.29,1946,140,21,11,35030.01,0.35,0.07
2026-08-04,6,2876.62,1527,51,68,1,31263.18,0.523,0.158
2022-09-18,17,3145.96,935,60,28,1,57656.91,0.429,0.174
2026-01-31,33,2549.91,1321,130,66,3,32808.33,0.382,0.021
2021-07-22,25,2884.43,1268,112,56,8,49908.69,0.947,0.134
2024-08-02,16,3781.1,1569,55,75,10,67088.39,0.756,0.1
2025-07-29,34,3192.67,1996,132,33,1,78933.37,0.634,0.149
2023-07-04,11,3763.16,1053,120,46,4,50907.83,0.056,0.117
2020-06-06,37,2822.3,1662,128,60,8,53291.08,0.916,0.014
2022-02-18,4,2363.3,1811,128,76,13,34578.37,0.508,0.07
2025-05-10,29,3734.56,1721,107,67,8,71874.37,0.58,0.187
2023-02-05,28,2400.7,1086,75,77,4,71006.24,0.925,0.06
2022-04-07,1,2985.45,1458,112,44,13,60633.96,0.553,0.072
2021-05-21,34,3913.24,989,79,35,11,30059.09,0.666,0.023
2024-11-03,36,2205.8,1640,89,52,18,59697.24,0.186,0.144
2020-11-10,13,3641.81,1877,104,64,12,48145.24,0.178,0.075
2025-02-27,9,3928.4,1536,108,67,7,22555.88,0.905,0.196
2020-12-19,23,2018.95,1849,84,57,6,61549.01,0.751,0.036
2026-02-27,12,2665.94,1592,88,40,15,39211.56,0.305,0.14
2024-06-29,23,3405.32,854,94,53,14,20390.52,0.979,0.178
2022-04-25,38,2500.28,1232,131,32,3,21508.18,0.652,0.043
2025-06-24,2,2577.12,1370,146,65,4,57541.22,0.339,0.015
2025-03-08,29,3902.87,1763,89,49,7,33210.09,0.76,0.114
2022-10-17,34,2892.32,1819,119,51,2,73875.6,0.28,0.069
2023-12-13,16,2378.43,1563,130,23,1,76536.42,0.413,0.162
2025-09-10,35,3580.7,1983,127,26,1,24975.33,0.535,0.194
2023-08-29,26,3399.5,1265,101,62,3,41376.83,0.396,0.177
2026-04-02,22,2499.59,1736,148,40,2,51561.08,0.432,0.128
2026-01-25,26,2357.43,1097,110,51,11,57332.16,0.195,0.012
2022-07-03,40,2705.53,1848,145,60,14,67793.37,0.421,0.163
2026-03-21,26,2851.31,1614,131,37,13,24935.73,0.433,0.101
2025-03-12,12,3995.48,1567,76,21,11,41754.36,0.79,0.034
2021-10-04,17,2359.76,1835,76,27,11,52671.5,0.728,0.035
2022-03-17,5,3573.0,1014,66,56,8,44032.34,0.384,0.122
2025-09-09,31,2666.69,1645,99,49,12,30753.27,0.449,0.164
2021-09-08,17,3578.53,1463,89,49,7,57688.77,0.323,0.038
2025-09-14,35,3723.84,1567,73,61,9,46669.14,0.948,0.155
2026-10-04,31,2966.95,806,63,74,2,40678.89,0.285,0.095
2023-03-09,27,2411.93,1238,59,41,18,34833.93,0.722,0.108
2021-10-09,5,2911.51,1766,148,68,4,51550.38,0.506,0.027
2023-01-23,8,2012.6,1229,56,32,12,54741.1,0.322,0.067
2022-09-07,35,2103.63,1818,144,43,3,27977.03,0.536,0.156
2023-09-07,22,3926.8,1391,65,73,12,65482.92,0.23,0.066
2026-08-31,13,2243.25,1245,105,68,1,75586.95,0.56,0.058
2023-02-06,4,2504.49,1169,58,69,12,73430.83,0.319,0.197
2026-02-23,34,2412.42,1893,127,38,19,31415.99,0.135,0.093
2025-02-14,22,2974.23,851,86,74,11,41185.89,0.584,0.148
2025-07-13,23,2564.2,873,122,33,17,61991.77,0.38,0.043
2024-01-15,39,2853.52,1143,139,23,6,22468.0,0.808,0.09
2024-04-17,24,3977.27,1863,126,42,15,57523.44,0.411,0.088
2020-12-18,27,3647.96,918,148,50,14,40807.16,0.195,0.056
2021-07-12,36,2813.91,1750,133,54,15,32374.69,0.348,0.087
2024-01-15,24,3885.24,1959,62,80,15,44150.03,0.091,0.008
2020-04-26,25,3297.55,904,130,45,13,44393.36,0.342,0.179
2025-12-04,15,2524.36,1369,130,57,12,71149.17,0.911,0.163
2023-10-16,13,3311.54,1774,148,68,1,49058.21,0.583,0.033
2024-12-09,13,2938.31,883,142,42,9,63064.11,0.32,0.12
2022-05-05,27,3744.39,1482,142,62,8,21919.81,0.937,0.003
2026-02-04,27,3035.04,1961,90,78,19,77382.0,0.539,0.179
2021-10-11,37,2574.25,965,107,59,11,70407.08,0.381,0.042
2021-09-19,11,3833.51,1116,78,29,17,49276.47,0.995,0.15
2024-04-20,12,3879.69,1214,69,31,20,70984.9,0.353,0.056
2023-05-30,39,2964.89,1061,116,72,10,62059.53,0.303,0.127
2023-12-10,33,2988.4,1911,86,26,10,58571.84,0.399,0.112
2021-09-20,27,3494.4,1983,69,64,4,33835.03,0.862,0.029
2020-06-25,10,2150.43,1379,102,80,1,59400.28,0.949,0.057
2021-09-19,22,2246.73,1022,91,79,12,70853.42,0.486,0.046
2023-10-28,6,2195.74,1465,97,30,17,35895.86,0.063,0.156
2020-08-19,23,2161.68,882,82,28,5,61322.85,0.417,0.171
2026-11-05,29,3611.49,1295,99,45,8,46034.55,0.962,0.132
2022-10-16,28,3973.16,804,66,68,11,54946.91,0.19,0.128
2021-10-31,24,3981.18,1643,96,69,5,63257.15,0.13,0.034
2024-06-23,36,3567.64,1110,134,28,18,73108.58,0.44,0.094
2024-01-10,26,3655.33,1126,125,65,1,39209.62,0.578,0.003
2026-06-02,4,3313.75,1494,75,67,12,51199.08,0.345,0.007
2025-03-21,20,3641.55,1719,61,26,2,40674.33,0.378,0.017
2024-08-16,33,2930.96,1219,67,23,18,35810.55,0.438,0.197
2021-05-16,6,3700.67,1085,118,67,10,28882.0,0.29,0.003
2025-03-23,25,3901.13,1434,59,55,2,23949.72,0.863,0.071
2022-01-25,20,2313.02,1388,116,21,5,40863.93,0.136,0.06
2022-08-02,31,2359.84,1451,87,34,20,40982.02,0.022,0.191
2022-09-10,23,3811.91,1280,50,49,13,63508.09,0.08,0.04
2024-08-06,11,3337.17,862,59,20,10,29208.86,0.295,0.021
2021-07-09,7,2155.08,1041,117,49,17,25428.05,0.438,0.078
2021-08-29,24,2978.68,1148,72,74,15,64817.05,0.157,0.091
2023-09-04,2,2340.34,1838,138,52,12,63749.45,0.364,0.073
2020-07-08,29,3369.15,1024,134,71,14,27651.26,0.686,0.189
2022-12-04,12,3986.56,1302,134,74,10,65475.41,0.523,0.081
2021-02-06,5,2229.82,1932,94,63,19,27332.54,0.792,0.066
2023-07-17,26,2322.92,1897,57,63,7,56267.61,0.407,0.148
2026-02-03,30,3831.41,1683,120,29,2,48915.73,0.315,0.168
2026-04-13,39,2506.44,983,60,46,3,49729.66,0.857,0.098
2026-02-27,14,3090.36,1812,66,46,1,29021.39,0.087,0.079
2022-09-20,31,3010.23,1949,81,30,7,65261.47,0.62,0.047
2024-06-04,40,2225.46,1871,84,70,1,43257.15,0.841,0.057
2026-08-09,15,2852.33,1264,80,58,15,35778.58,0.238,0.197
2020-10-14,22,3595.52,1827,99,74,8,56007.44,0.104,0.141
2020-02-06,9,3059.17,1797,131,67,20,79061.99,0.149,0.076
2022-02-11,10,2439.18,1600,83,42,6,24406.56,0.045,0.091
2025-09-23,17,2360.69,846,51,45,5,66638.65,0.783,0.048
2025-07-29,29,2735.18,952,126,52,6,58241.13,0.817,0.028
2020-08-12,18,2959.21,1560,106,63,19,38422.45,0.179,0.004
2023-10-17,8,2153.13,1852,66,42,2,58768.32,0.706,0.158
2024-01-20,24,3948.79,1601,64,74,20,30748.01,0.813,0.017
2020-08-13,26,3751.14,1710,77,47,3,66595.99,0.85,0.181
2024-02-09,11,3832.39,1246,86,25,19,22584.51,0.744,0.038
2023-08-03,32,2076.74,1756,63,72,17,75118.32,0.637,0.103
2024-09-19,32,3680.77,1811,94,65,3,57359.32,0.911,0.122
2025-09-05,3,2721.17,1032,75,65,19,29211.52,0.512,0.19
2024-07-04,24,3493.76,1459,70,72,10,59299.74,0.397,0.072
2023-05-30,30,3422.48,1422,52,20,16,42400.61,0.034,0.125
2022-05-31,39,2524.08,1676,148,48,2,32902.85,0.712,0.055
2023-02-03,17,3337.04,1743,81,72,2,52241.62,0.434,0.194
2023-12-25,8,3254.3,1678,78,41,6,77762.64,0.427,0.01
2024-01-22,11,3333.78,1398,53,54,17,62016.79,0.444,0.17
2026-07-03,17,2274.81,1407,52,50,14,41646.12,0.739,0.067
2022-10-19,7,3241.73,1379,128,78,7,70718.58,0.272,0.116
2025-09-02,22,3630.35,1317,145,46,19,61555.38,0.046,0.034
2022-05-16,31,2149.09,1067,113,54,7,61384.44,0.369,0.006
2020-04-23,39,2655.25,1594,59,77,9,31741.26,0.659,0.188
2024-12-06,40,3810.6,1117,104,70,10,41971.88,0.068,0.083
2021-02-06,13,3329.06,1599,61,75,16,57831.03,0.33,0.109
2022-05-13,8,2190.25,874,110,71,15,67682.46,0.32,0.163
2020-03-17,24,3886.35,988,127,51,10,75340.83,0.292,0.02
2022-02-04,30,3005.36,1275,117,36,12,77658.39,0.993,0.015
2023-05-19,22,3390.72,1190,83,72,11,78856.63,0.357,0.128
